REPORTED_WKLY_SPEND,REPORTED_WKLY_SPEND_USF,REPORTED_WKLY_SPEND_COMPETITOR_1,REPORTED_COP_SPEND,REPORTED_PRODUCE_SPEND,SMALL_QTY_RANK,DEL_FLEX_RANK,CUT_TIME_RANK,CUST_NBR,DIV_NBR,PYR_SEG_CD
25772.82385,772.8238462,25000,8250,5500,4,8,10,23190,67,Independent Restaurant
10071.19929,6971.199286,2000,0,1750,4,5,3,32914,28,Independent Restaurant
1820.138077,470.1380769,0,1972.5,625,4,10,9,107654,15,Independent Restaurant
10917.86365,1917.863654,5000,4650,500,4,8,7,45724,32,Independent Restaurant
12964.11635,2164.116346,8000,8490,2170,4,7,10,17222,51,Independent Restaurant
4160.824808,1560.824808,1600,1600,1000,4,7,5,48358,47,Independent Restaurant
2964.728846,264.7288462,0,1890,135,4,5,8,23358,52,Independent Restaurant
2812.682115,512.6821154,0,0,0,4,2,9,29766,7,Independent Restaurant
2812.682115,512.6821154,0,0,0,4,2,9,29766,7,Independent Restaurant
5649.436346,1089.436346,0,0,0,4,7,9,73947,27,Retail
3370.143462,970.1434616,0,1430,710,4,2,10,30137,36,Independent Restaurant
2705.771667,2355.771667,0,435,375,4,7,10,41681,58,Education
3354.836731,1204.836731,500,1220,470,4,6,5,3399,25,Independent Restaurant
2429.579423,1179.579423,1000,900,200,4,3,8,52963,36,Independent Restaurant
1209.632308,859.6323077,0,735,227.5,4,9,5,44066,38,Independent Restaurant
2314.456154,614.4561538,0,1360,457.5,4,8,9,13589,24,Independent Restaurant
2314.456154,614.4561538,0,1360,457.5,4,8,9,13589,24,Independent Restaurant
3488.478571,1788.478571,1200,500,660,4,8,9,104114,58,Education
6300,0,5000,1875,0,4,3,5,16602,13,Hospitality
7586.295577,86.29557693,0,75,50,4,7,6,8870,19,Retail
601.5613462,226.5613462,0,60,60,4,8,6,149618,54,Independent Restaurant
215.1771053,65.17710526,0,165,115,4,6,9,125348,36,Hospitality
15001,1,15000,10000,0,5,2,1,23362,4,Education
20295.21212,9695.212115,500,7500,2775,5,10,8,99966,31,Independent Restaurant
17834.07692,10834.07692,0,800,4000,5,4,2,103678,24,Independent Restaurant
8796.347885,7196.347885,1600,2760,1520,5,2,10,96917,48,Independent Restaurant
7186.814038,686.8140385,5000,2750,3675,5,4,6,66527,12,Independent Restaurant
4450.629615,4400.629615,0,1800,900,5,10,9,84448,9,Independent Restaurant
9163.721731,6363.721731,1000,700,1400,5,6,8,11572,27,Independent Restaurant
12695.66058,4695.660577,5000,3750,3000,5,8,9,95738,36,Education
4108.072692,2458.072692,600,3150,595,5,8,9,13148,38,Independent Restaurant
8024.789423,4124.789423,0,529,879,5,10,6,93994,2,Independent Restaurant
10111.24385,3611.243846,4000,3000,1900,5,7,1,117859,7,Government
8330.602308,2830.602308,0,5075,700,5,9,10,147271,31,Independent Restaurant
8936.224808,1436.224808,3000,2100,675,5,3,4,154456,45,Independent Restaurant
7736.240192,2936.240192,1800,1900,2100,5,6,9,80333,10,Independent Restaurant
6120.906923,3320.906923,2000,2460,400,5,3,8,96376,67,Independent Restaurant
4263.708846,1863.708846,0,1200,280,5,10,9,18951,47,Independent Restaurant
3276.787308,2526.787308,0,2205,205.5,5,4,7,128637,23,Independent Restaurant
3728.288846,2028.288846,0,230,400,5,3,8,25486,60,Independent Restaurant
4268.872115,1168.872115,0,2260,2460,5,7,4,53587,47,Independent Restaurant
3470.891154,1270.891154,0,1430,550,5,10,8,123095,18,Independent Restaurant
3311.968846,1611.968846,500,1700,900,5,6,10,81701,47,Independent Restaurant
2910.045192,810.0451923,600,1900,100,5,8,10,58783,61,Independent Restaurant
4917.323654,517.3236538,400,1000,800,5,3,9,102524,66,Health Care
3186.119038,1036.119038,0,1780,940,5,3,4,60269,6,Regional
19897.32885,8897.328846,0,0,6500,5,2,1,9570,16,Independent Restaurant
7078.189038,1378.189038,2200,3450,1250,5,6,4,71339,16,Independent Restaurant
1283.316346,1163.316346,100,1009,408,5,6,10,103613,1,Independent Restaurant
2671.920577,721.9205769,0,610,525,5,1,7,44689,16,Independent Restaurant
1929.363462,1189.363462,0,960,360,5,3,9,97722,52,Independent Restaurant
4078.068462,1678.068462,1600,560,800,5,4,2,31962,3,Independent Restaurant
1859.255769,1009.255769,0,350,50,5,1,8,72013,68,Independent Restaurant
1832.251346,432.2513461,0,700,200,5,2,8,40338,38,Independent Restaurant
2282.341923,582.3419231,0,1690,535,5,8,7,106619,33,Retail
2886.388462,786.3884615,500,1020,660,5,4,9,123116,62,Independent Restaurant
2715.349231,815.3492308,0,1450,580,5,3,7,4137,47,Hospitality
676.4482692,556.4482692,0,104,192,5,2,1,112466,36,Hospitality
4758.541923,858.5419231,900,4425,425,5,9,7,85484,28,Independent Restaurant
2635.229808,435.2298077,0,2170,430,5,9,8,86277,41,Hospitality
4450.886923,1050.886923,1600,1590,215,5,6,7,76850,25,Independent Restaurant
4289.467692,589.4676923,1000,580,1940,5,8,7,100434,21,Independent Restaurant
4289.467692,589.4676923,1000,580,1940,5,8,7,100434,21,Independent Restaurant
8638.030577,138.0305769,0,1980,1980,5,7,8,85772,11,Independent Restaurant
1983.280769,283.2807693,1200,495,945,5,6,7,152817,16,Regional
1107.993636,857.9936364,0,0,0,5,1,7,136303,54,Hospitality
151,1,0,33.75,33.75,5,9,8,75882,37,Other
4284.73,4224.73,30,19.5,24,5,4,9,124810,36,Independent Restaurant
1796.741296,1522.662115,152.2662115,712.60587,219.2633446,6,3,2,76966,32,Hospitality
136322.5835,31322.58346,31000,58150,24850,6,4,10,48104,25,Hospitality
15455.55173,8455.551731,0,8200,3000,6,7,9,36289,34,Independent Restaurant
14641.57615,3641.576154,6000,9000,6000,6,7,9,35311,3,Independent Restaurant
12836.97673,3336.976731,0,4350,9350,6,3,1,69704,23,Independent Restaurant
15693.85327,9393.853269,2500,6350,1775,6,5,10,64733,13,Independent Restaurant
8068.884286,68.88428571,3000,1150,250,6,4,9,87747,30,Education
6667.282115,5567.282115,0,3380,1500,6,10,4,113343,28,Independent Restaurant
12169.44212,2669.442115,0,4000,2300,6,3,2,146886,31,Independent Restaurant
15209.37904,1709.379038,4000,8500,700,6,9,8,127510,36,Independent Restaurant
4816.268654,1566.268654,0,1175,1250,6,4,7,89659,27,Independent Restaurant
6974.048077,1474.048077,4000,3200,2800,6,3,5,50446,22,Independent Restaurant
6224.634615,1024.634615,4500,1875,925,6,4,10,136583,33,Government
5928.806538,728.8065385,2000,1960,1540,6,10,9,87470,24,Independent Restaurant
15449.21942,2049.219423,0,2900,4800,6,10,8,103656,24,Retail
6880.617885,4580.617885,800,1000,500,6,4,10,115863,28,Independent Restaurant
6293.672115,2093.672115,2500,1750,1690,6,3,10,68749,25,Independent Restaurant
4090.069615,1190.069615,900,1240,1240,6,4,7,63536,32,Independent Restaurant
2987.905577,1287.905577,500,900,1250,6,3,5,152037,33,Independent Restaurant
3924.815192,724.8151923,700,2470,1500,6,8,7,74752,24,Hospitality
3325.398654,1125.398654,0,875,775,6,10,9,67456,13,Independent Restaurant
8220.125385,4920.125385,2100,1080,690,6,7,3,109609,2,Independent Restaurant
2734.222115,714.2221154,1500,1050,452,6,9,7,87414,19,Independent Restaurant
6213.272885,1613.272885,4500,1850,2550,6,2,7,59922,54,Hospitality
4036.947308,1336.947308,0,810,500,6,9,10,140341,32,Independent Restaurant
4237.413077,337.4130769,900,2250,0,6,5,10,148335,10,Independent Restaurant
3391.677692,3341.677692,0,400,160,6,7,10,64158,22,Education
2738.177885,688.1778846,750,112.5,81,6,7,9,25137,41,Independent Restaurant
933.2203846,83.22038462,850,1000,112.5,6,2,4,44848,33,Independent Restaurant
1082.202885,132.2028846,0,455,635,6,7,10,116389,11,Independent Restaurant
1771.410192,421.4101923,0,0,495,6,10,9,4634,36,Independent Restaurant
3299.543846,99.54384615,200,900,800,6,7,10,20159,14,Hospitality
3048.275577,698.2755769,0,1500,310,6,7,8,46595,47,Independent Restaurant
2081.820385,181.8203846,0,750,750,6,5,8,82178,11,Independent Restaurant
15588.82519,15586.82519,0,0,1.5,6,7,8,32534,10,Other
3444.389615,244.3896154,0,0,0,6,8,10,14212,8,Independent Restaurant
16860.35173,360.3517308,1500,3750,3750,6,2,8,147061,36,Hospitality
7634.666538,3551.007692,3551.007692,887.7519231,2885.19375,7,5,6,96424,10,Independent Restaurant
1052.884323,950.9922917,6.792802083,285.6373276,277.146325,7,3,5,110763,12,Education
78466.04154,13466.04154,50000,19500,6000,7,2,10,1907,14,National Chain
6504.561731,1004.561731,3000,3100,4200,7,5,6,154725,37,Independent Restaurant
15489.26615,5789.266154,4000,4800,2800,7,4,10,78187,39,Independent Restaurant
6750.216346,5500.216346,0,2000,1775,7,4,6,153319,53,Independent Restaurant
26191.89365,3991.893654,0,8660,7660,7,4,8,138671,37,Independent Restaurant
12245.38788,5245.387885,7000,3300,3300,7,5,4,11050,16,Other
10519.62712,19.62711538,3500,6300,3150,7,1,6,139434,1,Independent Restaurant
9117.795769,1617.795769,0,700,0,7,6,5,131392,48,Independent Restaurant
6719.886923,3819.886923,0,1485,330,7,4,5,88578,58,Education
22996.26288,996.2628846,0,10550,3850,7,6,10,131149,11,Retail
7397.824615,397.8246154,0,3200,2480,7,2,4,133023,31,Independent Restaurant
7359.765385,359.7653846,2000,850,1675,7,4,6,23418,71,Other
2420.931154,1970.931154,0,1610,210,7,10,1,106532,5,Health Care
3819.838077,1811.838077,2008,801.2,2305.2,7,9,2,33542,13,Independent Restaurant
12554.17942,1554.179423,0,4984,4950,7,8,10,147405,23,Independent Restaurant
11288.09038,788.0903846,500,5075,3725,7,10,6,59360,66,Independent Restaurant
1715.579038,315.5790385,1000,435,800,7,3,10,154859,68,Independent Restaurant
1632.789038,192.7890385,655,1041.25,275,7,6,3,139344,26,Independent Restaurant
